Time, v, b, c, g, gy, y, o, r, cl, nir, Value, Average Value, Delta, Average Delta
23688.000000, 4.272461, 12.207031, 11.444092, 46.691895, 70.800781, 108.642580, 73.242188, 54.473877, 31.585693, 2.441406, 0.743750, 0.818485, -0.005256, 0.003641, 0.000000
23874.000000, 4.272461, 12.207031, 11.138916, 46.539307, 70.343018, 108.184810, 72.784424, 53.710938, 31.738281, 2.441406, 0.737945, 0.815196, 0.005804, 0.003288, 0.000000
24058.000000, 4.272461, 11.901855, 11.138916, 45.928955, 70.037842, 108.184810, 72.174072, 53.253174, 31.280518, 2.441406, 0.737844, 0.812286, 0.000102, 0.002910, 0.000000
24241.000000, 4.272461, 12.054443, 11.291504, 45.623779, 70.800781, 108.337400, 73.089600, 54.168701, 31.280518, 2.441406, 0.741127, 0.809632, -0.003284, 0.002654, 0.000000
24428.000000, 4.272461, 12.054443, 11.291504, 46.386719, 71.716309, 109.863280, 74.462891, 54.779053, 31.738281, 2.746582, 0.735656, 0.806526, 0.005472, 0.003105, 0.000000
24611.000000, 4.425049, 12.054443, 11.291504, 46.539307, 72.021484, 110.626220, 74.615479, 54.626465, 31.738281, 2.746582, 0.732106, 0.803917, 0.003549, 0.002610, 0.000000
24796.000000, 4.425049, 12.207031, 11.291504, 46.081543, 71.411133, 110.168460, 74.462891, 54.626465, 31.585693, 2.746582, 0.733607, 0.801498, -0.001500, 0.002418, 0.000000
24983.000000, 4.272461, 12.054443, 11.291504, 45.623779, 71.411133, 110.321040, 74.920654, 54.779053, 31.738281, 2.746582, 0.731161, 0.799049, 0.002446, 0.002449, 0.000000
25168.000000, 4.272461, 12.054443, 11.138916, 45.166016, 71.105957, 109.710690, 75.073242, 54.321289, 31.433105, 2.746582, 0.723577, 0.795825, 0.007584, 0.003224, 0.000000
25352.000000, 4.272461, 12.054443, 11.138916, 45.318604, 70.953369, 110.626220, 74.615479, 54.473877, 31.433105, 2.746582, 0.730061, 0.793509, -0.006484, 0.002317, 0.000000
25538.000000, 4.425049, 12.054443, 11.291504, 45.776367, 72.021484, 111.999510, 75.531006, 55.084229, 31.585693, 2.441406, 0.729293, 0.790747, 0.000768, 0.002762, 0.000000
25721.000000, 4.425049, 12.207031, 11.444092, 46.234131, 72.937012, 113.525390, 76.751709, 55.847168, 31.585693, 2.441406, 0.727634, 0.788748, 0.001659, 0.001999, 0.000000
